DFE,Key Dates Calendar (Exams),www.modernisationonline.com/compkeydates
DFE,My Curriculum,mycurriculum.com
DFE,National College for Leadership of Schools and Children's Services,www.nationalcollege.org.uk
DFE,National Curriculum QCDA,curriculum.qcda.gov.uk
DFE,NCA Tools (QCDA),ncatools.qcda.gov.uk
DFE,Partnerships for Schools,www.partnershipsforschools.org.uk
DFE,Qualifications and Curriculum Development Agency (QCDA),www.qcda.gov.uk
DFE,ReferNet - the European network for Vocational Education and Training,www.refernet.org.uk
DFE,School Food Trust,www.schoolfoodtrust.org.uk
DFE,Training and Development Agency (TDA),www.tda.gov.uk
DFE,Young People's Learning Agency,www.ypla.gov.uk
DFID,Commonwealth Scholarships,cscuk.dfid.gov.uk
DFID,Department for International Development,www.dfid.gov.uk
DFID,Stabilisation Unit,www.stabilisationunit.gov.uk
DFT,Air Accident Investigation Branch (AAIB),www.aaib.gov.uk
DFT,Department for Transport,www.dft.gov.uk
DFT,Directly Operated Railways,www.directlyoperatedrailways.co.uk
DFT,"ESDAL, Highways Agency",www.esdal.com
DFT,High Speed 2,www.hs2.org.uk
DFT,Highways Agency,www.highways.gov.uk
DFT,Marine Accident Investigation Branch (MAIB),www.maib.gov.uk
DFT,Passenger Focus (Rail Passengers Council),www.passengerfocus.org.uk
DFT,Rail Accident Investigation Branch (RAIB),www.raib.gov.uk
DFT,Traffic England,www.trafficengland.com
DFT,Traffic radio,www.trafficradio.org.uk
DFT,Transport Direct,www.transportdirect.info 
DH,Administration of Radioactive Substances Advisory Committee,www.arsac.org.uk
DH,ADMLC - UK Atmospheric Dispersion Modelling Liaison Committee ,www.admlc.org.uk
DH,Alcohol Education and Research Council (AERC),www.aerc.org.uk
DH,Appointments Commission,www.appointments.org.uk
DH,Asthma Management,www.asthmar-d.org.uk
DH,British Mosquitoes,www.britishmosquitoes.org.uk
DH,British Pharmacopoeia (BP),www.pharmacopoeia.gov.uk
DH,British Pharmacopoeia Commission (BCP),www.pharmacopoeia.co.uk
DH,Care Quality Commission,www.cqc.org.uk
DH,Carers Web,www.info.doh.gov.uk/Carers/Carersweb.Nsf
DH,CFI Quality Systems,www.hpa-quality.org.uk
DH,Clinical Trials Toolkit,www.ct-toolkit.ac.uk
DH,COMEAP - Committee on the Medical Effects of Air Pollutants,www.comeap.org.uk
DH,"Committee on Carcinogenicity of Chemicals in Food, Consumer Products and the Environment",www.iacoc.org.uk
DH,Committee on Medical Aspects of Radiation in the Environment,www.comare.org.uk
DH,"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment (COM)",www.iacom.org.uk
DH,Community Health Partnerships,www.communityhealthpartnerships.co.uk
DH,Co-operation and Competition Panel for NHS Funded Services,www.ccpanel.org.uk
DH,Council for Healthcare Regulatory Excellence,www.chre.org.uk
DH,DH: Department of Health,www.dh.gov.uk
DH,East of England Research and Development Sub Unit,www.east-of-england-rdsu.org.uk
DH,Ethics Research Information Catalogue,www.eric-on-line.co.uk
DH,European Health Insurance Card,www.ehic.org.uk/Internet/home.do
DH,General Social Care Council (GSCC),www.gscc.org.uk
DH,Griffin Report,www.griffininvestigation.org.uk
DH,Health for Work Adviceline for Small Businesses,www.health4work.nhs.uk
DH,Health Professions Council,www.hpc-uk.org
DH,Health Protection Agency North East Regional Epidemiology,www.hpa-ne.org.uk
DH,Health Protection Agency North West,www.hpa-nw.org.uk
DH,HPA - Health Protection Agency,www.hpa.org.uk
DH,HPA - online client support,www.rrsag.org.uk
DH,HPA eHealth,ehealthlearning.org.uk
DH,HPA TV,www.healthprotectionagency.tv
DH,Human Fertilisation & Embryology Authority (HFEA),www.hfea.gov.uk
DH,Human Genetics Commission,www.hgc.gov.uk
DH,Human Tissue Authority (HTA),www.hta.gov.uk
DH,IMBA Professional,www.imbaprofessional.com
DH,Independent Reconfiguration Panel,www.irpanel.org.uk
DH,Involve,www.invo.org.uk
DH,IRID - Ionising Radiations Incident Database,www.irid.org.uk
DH,Ku World,www.riskit.org.uk
DH,MHRA - Medicines and Healthcare products Regulatory Agency,www.mhra.gov.uk
DH,Microbiological Diagnostics Assessment Service,www.hpa-midas.org.uk
DH,Monitor - Independent Regulator of NHS Foundation Trusts,www.monitor-nhsft.gov.uk
DH,MTHR Mobile Telecommunications and Health Research,www.mthr.org.uk
DH,National Advice Service for Researchers (RDDirect) (NHS),www.rddirect.org.uk
DH,National Biological Standards Board (NBSB),www.nibsc.ac.uk
DH,National Standard Methods,www.hpa-standardmethods.org.uk
DH,NHS Identity,www.nhsidentity.nhs.uk
DH,NHS Photo Library,www.photolibrary.nhs.uk
DH,NHS Plus,www.nhsplus.nhs.uk
DH,Radiation Protection Services,www.hpa-radiationservices.org.uk
DH,Scientific Advisory Committee on Nutrition,www.sacn.gov.uk
DH,Shape,shape.dh.gov.uk
DH,Social Care Careers,www.socialcarecareers.co.uk/socialcare/ 
DH,Social Work Careers,www.socialworkcareers.co.uk/socialwork/ 
DH,Tick Recording Scheme,www.britishticks.org.uk
DH,UKradon,www.ukradon.org
DWP,Child Maintenance and Enforcement Commission,www.childmaintenance.org
DWP,Child Maintenance Options,www.cmoptions.org
DWP,Child Support Agency,www.csa.gov.uk
DWP,Department for Work and Pensions,www.dwp.gov.uk
DWP,Gateway Project (Office of the E-Envoy),www.gateway.gov.uk 
DWP,Health and Safety Executive (HSE),www.hse.gov.uk
DWP,Independent Case Examiner,www.ind-case-exam.org.uk
DWP,Pension Protection Fund Ombudsman,www.ppfo.org.uk
DWP,Pensions Ombudsman (PO),www.pensions-ombudsman.org.uk
DWP,Pesticides Safety Directorate,www.pesticides.gov.uk
